FIGHTER1,FIGHTER2,WINNER,RATING1_BEFORE,RATING2_BEFORE,RATING1_AFTER,RATING2_AFTER,EVENT,DATE,TIME_FORMAT,ROUND,TIMESTAMP,FIGHTER1_OUTCOME,FIGHTER2_OUTCOME,TOTAL_TIME_MINUTES,TOTAL_TIME_SECONDS
Erin Blanchfield,Rose Namajunas,Erin Blanchfield,1682.6418079315886,1775.4045199233353,1739.378896159062,1718.667431695862,UFC Fight Night: Moreno vs. Albazi,2024-11-02,5 Rnd (5-5-5-5-5),5,5:00,1,0,25.0,1500.0
Caio Machado,Brendson Ribeiro,Brendson Ribeiro,1418.8244822366266,1433.2200245120212,1399.6526823791078,1452.39182436954,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Ariane da Silva,Jasmine Jasudavicius,Jasmine Jasudavicius,1469.0588416964276,1617.9275443544002,1445.2208034292048,1641.765582621623,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),3,2:28,0,1,12.466666666666667,748.0
Mike Malott,Trevin Giles,Mike Malott,1580.0816704145057,1477.7141405187297,1612.1937829048056,1445.6020280284297,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Brandon Moreno,Amir Albazi,Brandon Moreno,1716.8591481500657,1658.9453176934185,1754.4268343237336,1621.3776315197506,UFC Fight Night: Moreno vs. Albazi,2024-11-02,5 Rnd (5-5-5-5-5),5,5:00,1,0,25.0,1500.0
Jamey-Lyn Horth,Ivana Petrovic,Jamey-Lyn Horth,1525.333616171823,1492.1807232099486,1543.430953512895,1474.0833858688766,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Jack Shore,Youssef Zalal,Youssef Zalal,1619.916741668824,1551.9590932349333,1572.1911017100397,1599.6847331937176,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),2,0:59,0,1,5.983333333333333,359.0
Serhiy Sidey,Garrett Armfield,Serhiy Sidey,1480.0,1477.445427761243,1499.852949651011,1457.5924781102322,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Chad Anheliger,Cody Gibson,Cody Gibson,1507.5644104714675,1417.4050445000898,1451.142179602455,1473.8272753691024,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Aiemann Zahabi,Pedro Munhoz,Aiemann Zahabi,1639.8623889590715,1609.0585584112707,1680.883085386398,1568.0378619839441,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Alexandr Romanov,Rodrigo Nascimento,Alexandr Romanov,1604.1336323807573,1574.561374775332,1645.3126442570933,1533.382362898996,UFC Fight Night: Moreno vs. Albazi,2024-11-02,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Brad Katona,Jean Matsumoto,Jean Matsumoto,1509.183035667885,1536.4268801419494,1467.7044551062556,1577.9054607035787,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,3 Rnd (5-5-5),3,5:00,0,1,15.0,900.0
Anthony Hernandez,Michel Pereira,Anthony Hernandez,1667.908809505017,1762.3421247850288,1724.8473008361361,1705.4036334539096,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,5 Rnd (5-5-5-5-5),5,2:22,1,0,22.366666666666667,1342.0
Rob Font,Kyler Phillips,Rob Font,1648.3430418018606,1713.5139192976865,1701.686375813345,1660.1705852862021,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Charles Johnson,Sumudaerji,Charles Johnson,1587.2762627720606,1494.53721885772,1620.5420315508509,1461.2714500789298,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
Darren Elkins,Daniel Pineda,Darren Elkins,1597.7055731756404,1468.8528823097226,1626.7417968769385,1439.8166586084246,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,3 Rnd (5-5-5),3,5:00,1,0,15.0,900.0
